id,text,aspect,predicted
138,"the experience on ipad, however, is extremely lackluster - not to mention limited - compared to the macbook app.",MacBook app.,1
139,"When I open Asana on iPad it always asks you to update, update and ask you to update again! ,",update,0
140,if deliveries are not proper there is no proper updates about refund and every month thrice delivery not come,no proper updates,-1
141,@notionhq btw usually the images are usually attached under toggle lists if that matters.,images,0
142,update: changed my review to 5 stars now because finally loading times are reasonable and you can view your notes while offline.,offline.,-1
143,"I always swipe and make tasks compeleted. 
",swipe,0
144,"correct, its the volume slider for the video and the background music in that scene",scene,0
145,i thought i had already cancelled prior to the trial being over but just noticed the payment,cancelled,-1
146,please adjust the in time of text box on the timeline below.,text,1
147,no proper transaction history - poor app quality - wrong delivery shown on app very bad service at all,service,-1
148,"when i login again, its give me new space, thehe is no my old notes for my business, acc is on .",login,-1
149,"and prior to this change it was saying upgrade for $10, now it is $15 :)",upgrade,1
150,"there is no trust, because milk packet has one color delivered milk packet is other color i raised the same issue they are saying",milk,1
151,"Very good app, easy to learn and use",learn,1
152,"the app does not run on android 6, at least on my meizu m5s.",app,0
153,invigilate your delivery person.,DELIVERY,0
154,edit a to-do list without opening th.,list,0
155,"to answer your follow up questions, we will need more than 100gb of storage.",storage.,0
156,load times on android now,Android,0
157,i suggest adding the ability of changing the font size like in ms word.,font size,1
158,it looks like the timezone can not be changed if the database is locked.,database,1
159,excellent note making app.,note making app.,1
160,order flexibility and attentive response,response,1
161,"i compressed video using handbrake video editor, file currently at 58mb, what format is supported, did not accept","editor,",0
162,get to know the finalists in the document knowledge category of the operate stage of.,Knowledge,0
163,"no mistake in delivering the correct product, correct quantity.",correct quantity.,-1
164,great app.,app,1
165,"hi, this morning i opened my notion to type out notes for my english class just to see that I would been logged out of my account.",notes,0
166,ux in general of apps is not good,apps,-1
167,but often Apple Pencil dosent respond in the upper left '<',Apple Pencil dosent respond,0
168,Since the 22-Feb-2021 update I've had problems with the app crashing.,app crashing,-1
169,would give the app 5/5 if it did not slow down as much.,Would,0
170,"but overall it is excellent, the animations are a bit choppy, there is still some bugs here and there, but i hope the next update will make it better than it already was.",bugs,1
171,by giving best quality at best price,quality,1
172,good service please include grocery as well,grocery,1
173,I just created A LONG message to update a project.,update,1
174,excellent app.,app.,1
175,I’d like to only view my highest priorities,priorities,1
176,I find Asana to be more effective on the web browser as opposed to the app.,browser,1
177,i can look into this for you - could you share the name or domain of the workspace?,workspace,1
178,"i added someone to my team to collaborate on projects, but i do not see how to share the project with them","projects,",1
179,we have refunded your payment and cancelled your subscription.,subscription,-1
180,would be complete if we could have widgets like sticky notes,widgets,1
181,"hello, how can i cancel free account?",account?,1
182,"Airtable is a GREAT tool but the iOS app is really too light (not all views are supported, neither dashboards etc...)
",views,1
183,"in ""how to take smart notes"", sonke ahrens ""planning"" more suited for projects but ""structure"" more apt for uncerta.",projects,1
184,"after summing up the amount table and filtering on the previous days, I am able to display a daily based balance.",display,0
185,"Simply not working, keeps saying I'm offline in my project",offline,-1
186,but the video media is resizing,video,0
187,i want to cancel my plan,plan,-1
188,give offers .,offers,0
189,my order was marked as delivered,delivered,0
190,i can give you 25% discount on unlimited yearly plan,discount,0
191,"well for now I am going to take the monthly plan, because the truth as i have a lot of development expenses, i find it a bit difficult this month at $ 500, but i do take the option into account, because at the moment one of my platforms starts to generate that it will be throughout the month of may and june","expenses,",1
192,"hey notion team, I am trying to export my notion project(as html) to have an offline backup.",offline,-1
193,the vat field actually will not show up until your billing address has been updated - that field automatically comes up when we have verified your address is in a taxable jurisdiction.,tax,0
194,# what is your workspace domain?,workspace,0
195,essential items all there at reasonable price as well as varieties,varieties,1
196,order not getting delivered since last 2-3 times and shows delivered..,Order,0
197,"thanks for taking the time to fill out our form, thibaut.","form,",1
198,"app on the ios terribly slow, crashes multiple times, does not support apple pencil.",App,-1
199,"dear support, i tried to filter a big table to show all the rows from for example february","Support,",1
200,please deliver the items promptly and regularly,deliver,1
201,"A new iPhone broke, took the old 5 and could not use Asana.",iPhone,-1
202,"right now, i can use it in chrome",Chrome,0
203,"ok, share the new accounts emails with me",account,1
204,excellent & in time service,time service,1
205,very great app!,app!,1
206,"hi, i have a dialogue track and music track and when i export, the music cuts off abruptly before the video ends on the exported video.",off,-1
207,"barring few items such as onions tomato and potato, quality of product supplied is very good.",tomato,1
208,am i able to split a clip into two scenes when it is on the timeline?,scenes,0
209,amazing browser app but needs more work on the android version as it is very slow and miss some features that makes notion a powerful tool,android version,1
210,"ok, so i am on the pay screen now (using an incognito window)",pay,1
211,"Can no longer use the app because of this stupid ‘Magic email link’ which only opens with web browser, rendering the app and the whole point of Asana completely useless!!

",email,-1
212,"it has the opportunity to be the best note taking app, so much flexibility and support.",note,1
213,"1) handwriting option, i dominantly use it on my ipad and it would be great if that could be added.","option, I",1
214,":) i use on android tablet mostly and keyboard shortcut to ""undo"" and ""redo"" do not work properly or consistently.",Keyboard shortcut,1
215,Not as a company.,company,0
216,"hi brandon, it is paris dean.looks like a lot of new stuff, how are we deleting the box",deleting,1
217,can i start a free plan and then upgrade that to a business plan?,free,1
218,rs 2 for a lt milk dilivery charges is to much,dilivery charges,-1
219,i wish add the rotate and crop image functions,image,1
220,but viewing this data in calendar view (by 'upcoming date' so upcoming birthdays show) does not show anything for today's date.,Calendar,0
221,"right ok, that may be because of facebook's requirement of 4:3/4:5 dimensions, which we do not do yet",facebook,1
222,now a days lot days delivery is missed out.,delivery,-1
223,How did you recover a task that I accidentally deleted.??,task,-1
224,"after 13.may update the app loads ways faster, not perfect but way better.",app,1
225,shall i retry the charge from the backend?,charge,0
226,as they have created another free account,account,1
227,"can not make it image and text for exampple, on ""one line""",text,0
228,"hey kim, i understand, however, i can help you with a lifetime unlimited plan which is an ltd plan.",plan,1
229,how can i delete music and scene from the project ?,delete,0
230,"i love the desktop version, but when i want to start the mobile one, it takes forever to load","desktop version,",1
231,there was shortage of product i did not get my subscriptions.,shortage of product,-1
232,by getting more customer centric.,customer centric.,0
233,"in terms of #remotehiring @graphyhq are showing the way, by using @notionhq to share their available roles and prep.",share,1
234,Beware the coercive subscription model.,subscription,0
235,there are certain items which are not up to expectations and price charged from customer .for,price charged from customer,0
236,very nice & useful service,nice,1
237,"my video has 2 scenes, but when the render finished the 2nd scene music only there","scenes,",0
238,"initially, you guys promoted with free delivery charges & now there charges taken against each packet of milk, which was very disappointing to me.","milk,",-1
239,"Bug: ""Add Tag"" not working on android. """,Tag,0
240,Easy and simple but can also complex database solutions,database,1
241,"i have small table, one column has dates.","table,",0
242,your free trial ends on april 22 and you will be charged $10 monthly,free,1
243,i gave a spin to the daily habit tracker which adds a lot of insights to the user.,daily,0
244,how do i change the filter of the picture to make it blend into the video as a watermark?,picture,0
245,please select the textbox and then go to the 'colors' tab in the right panel.,text,1
246,@kaushikb9 @mittuled @evernote @notionhq thankfully i just switched from evernote to @notionhq last month.,switched,1
247,I have not been using invideo and forgot to cancel my subscription.,cancel,-1
248,we do not know whether the product is delivered or not.,product,0
249,"as shown in the photo below, we are instructed to switch to personal pro to search the search engine.",photo,0
250,will i lose quality each time?,quality,-1
251,@coryzibell @trostcodes @notionhq apple notes + login to when not on macos,macOS,0
252,certain keyboard functions are not compatible with the app.,app.,1
253,there is a very unpleasant dynamic resizing happening on my tablet (s6 lite).,lite).,-1
254,good products but more items to be added and last order should be allowed till 2 of clock night,items,1
255,i found the allow support access feature and appreciate it very much.,Support,1
256,"hands down, the best I have found in 25 years.",Hands,1
257,tour refund policy for reduction on supply of milk packet in not good,milk,-1
258,i have looked there and the text does not have a layer,text,0
259,great app for students,app,1
260,@nocodeluc @notionhq why invent a new shortcut for the bullet points tho?,shortcut,0
261,"so, when i click the ""reading notes"" on the table of reading list, id like it direct me directly to the page of the reading note","notes""",1
262,there is no customer support.,customer support.,1
263,your vegetables are rotten but prices are higher than the market.,vegetables,-1
264,when editing a story for instagram or pinterest they are small,Pinterest,0
265,certain items are not available for purchase more than a week.,items,1
266,"at this time, some features like importing, resizing images, dragging/reordering columns are not available on our mobile apps.",images,1
267,"i can not get the previews to load whether its with istock videos from yur library, or my own",istock,0
268,"Overall an awesome app, but there are some worsened features over the latest versions, as well as some stupid missing ones on android versions.",android,-1
269,i wish i could turn dark mode on again and for a more flexibility with hebrew users.,Dark mode,1
270,delivery executive not ringing the bell and not placing the order at proper place,Delivery,0
271,"you do not need to buy a separate plan for each one, just one on this account will do, then simply add them as team members and they get the same benefits",account,1
272,"you can (kind of) do this with database templates, but each template is confined to the database.",database,0
273,New favourite productivity app!,productivity,0
274,"Works pretty well most of the time, but often fails during upload of photos, especially if taken through the app instead of the camera app built in.",upload,-1
275,the android version of your app is pathetic.doesen't load anything.,app,0
276,"i guess i could not use command+p to search the content inside the table; i personally like to put description and remarks in the table because i could see the information without opening a page while using ""table databases"" in notion.",search,1
277,"Unfortunately, it is not possible to be notified of entries (e.g. from a task list) via push notification.",notification,-1
278,The best and most intuitive project management app.,project,1
279,these are just my observations from using the app for three days and searching around for problems i had on youtube and the internet.,app,-1
280,"Dear developers, make for desktop, in Chrome, a drop-down list of employees, when selecting in the comment field.",list,1
281,I was getting pinged all day so I tried to adjust the email notification settings.,settings,0
282,notion is amazing.,Notion,1
283,"Great, I'm using it on PC and cell phone.",cell phone,1
284,"hi, i need cancel my account",cancel,-1
285,"never in my life I have seen such a perfect app for note taking, plus the good people at notion have gotten rid of limited plan.",notion,1
286,and the second browser is firefox,Firefox,0
287,"because the situation is not using notebooks as a collaboration tool, if you build a company recruitment page with only a personal pro account and search engine, you want to use a personal pro account.",collaboration,0
288,your are charging delivery charges for milk and other items.,delivery charges,-1
289,desktop and web works great but the app is very slow to load.,Desktop,1
290,"great app, but can sometimes take too long to load (5s +).","app,",1
291,i see you are already on 14 days trial and 50% discount code is already applied that you will be charged on 28th april 2021 for $60,code,-1
292,"I am constantly thanking and sharing gratitude for how my computer helps.
",sharing,1
293,"in the meantime, please note that our desktop apps are currently running a bit faster than using notion in your web browser.",web,1
294,"service is very bad, availability of products is poor..",Service,-1
295,here you can find a screen recording,screen,0
296,but what if i cropped just the one blue side out and added some text on text on the right like a story?,text,1
297,no customer interaction for issues,customer interaction,-1
298,sorry I have logged out and did not get the link or anything you may have sent in the meanwhile,logged,-1
299,i mostly like the delivery service.,delivery service.,1
300,you can access the page history even if you are not on enterprise as long as you are on a paid plan.,paid plan.,0
301,"absolutly hrishikesh, i a actually a new colaborator and i am working on a video tutorial for you",tutorial,0
302,"i can click and drag to highlight text within blocks, but not in title fields or other non-block areas of the app.",app.,-1
303,you have registered using google.,Google.,0
304,A stupid app that doesn't notify subtasks.,notify subtasks,-1
305,I constantly have notifications and badges on the Asana app even though all my tasks are complete.,notifications,0
306,"yes, try it, if not ill change the password from here",password,1
307,by better customer service.,customer service.,1
308,i just created a notion account using my school email which i thought would automatically upgrade to a personal pro plan but it has not!,school,1
309,"they said they will give free bag after 6 to 8 months of subscription also i did not receive any thing after asking also i am usin my neighbour s bag very bad ,and delivery fee for other materials is too costly",bag,-1
310,please improve ios app.,ios app.,1
311,if you use premium media then you will get a watermark on the free plan.,free,1
312,prompt delivery on a daily basis and the understanding the requirement of customers (specially the vacation featuredy~,requirement of customers,0
313,any projected timeline for resolving this issue.?,projected,1
314,how to add mobile frame in my video,mobile,0
315,Excellent Task Manager!,Task,1
316,pls deliver milk daily,milk daily,0
317,"Really good and very flexible ticket program, I've chosen from many programs to handle IT submissions and this one can really quickly and easily customize to your needs",flexible,1
318,availability of products displayed,Availability of products,0
319,i want to add song to image,image,0
320,business plan is for $20/month or $120/year,plan,0
321,@jitl @notionhq looking forward for the performance improvements!,performance,1
322,I absolutely love Airtable and am a paid user — it has revolutionized my work and hobbies — but only on lap/desktop.,desktop,1
323,Used to be able to view.,view,0
324,delivery charges be removed,Delivery charges,-1
325,"This app is a very simple, easy to use project management app.",project,1
326,i am using the web version - chrome,chrome,0
327,loading takes too long.,Loading,0
328,one journal by @dayoneapp 3.,Journal,0
329,when booking first subscription supr promised me for supr bag till now i have nt got the bag,supr bag,1
330,I am having an issue where each callout created is displaying all red text instead of the default color.,displaying,1
331,in fact I am talking about the video or a picture being dragged into the scene to fit with the text/script,text,1
332,ok will do at the when I have finished editing,editing,1
333,dropping milk packets without any follow ups.,milk packets,0
334,@notionhq there really needs to be a way to auto sort tags when one is in the tag edit view.,edit,0
335,do not charge service fees and give quality in products,service fees,0
336,we are waiting for our investors to be added to the list,list,0
337,Why on earth would you create such an app without landscape mode?,landscape,1
338,I am still trying to figure out the music,music,0
339,timely delivery and good quality of vegetables,quality of vegetables,1
340,"this app however, is terrible.",app,-1
341,"keep super daily app proper in function, & please listen to the customer complain, understand & sort out properly",super daily,1
342,"there is an issue with scrolling, the app will freeze up, will not scroll but i can press links, then it will scroll very slowly trying to catch up, i have to close and reopen to fix this.",will,0
343,is it best practice to work with small scenes (say 20 seconds each instead of a longer 60 second scene?,scene?,1
344,I love Asana for project management across several organizations however the mobile experience has always lagged a bit behind the web version.,web version,1
345,"Requires an account and since it’s free, that means they slurp all your data.  ",free,1
346,"for now it is ok - it is just something i think you should know, plus it took extra time for me to have to keep going back in to delete the logo again",logo,1
347,the app works really well,app,1
348,No calendar overview or ways of taking a snap shot if the status of all tasks at a particular time example.,calendar,-1
349,It's a very good application for organizing within a small company.,company,1
350,and: how does one change the workspace-name once one upgraded to team-plan?,Workspace,0
351,all of my high resolution cover image will not show,All,0
352,vegetables and fruits delivered are very bad quality.,fruits,-1
353,"great , i only faced some slowing when starting the app.",App.,1
354,"oh, if you mean speeding up animations, then that is not a feature we have yet, sorry :)",animation,1
355,this is the complete project i would like to duplicate at once including all content for backup.,backup.,1
356,"subscriptions are provisioned on a per-workspace basis, so you would have to pay if you wanted to have another workspace on the enterprise plan.",workspace,-1
357,"one item was not delivered on 3rd sept and there was no information given,nor any refund",item,-1
358,in this situation covid 19,this,0
359,desktop app windowa,Desktop,0
360,@notionhq when you will support rtl ?,support,1
361,For some reason this app is very limited compared to the browser version.,browser version,-1
362,the notion desktop application is uninstalling automatically and.,uninstalling,0
363,delivery is highly unreliable.,Delivery,0
364,timing nd delivery is really very poor.,Timing,-1
365,irregular deliveries every month.,deliveries,0
366,product n delivery experience,delivery experience,0
367,great tool.,tool.,1
368,the app never opens for me or takes a lot of time.,app,0
369,Very useful app for my Youtube planning,planning,1
370,customer care service can be better,Customer care service,1
371,"apart from milk you should stock dairy products like curd, lassi and selected vegetables/ fruits",vegetables/ fruits,1
372,it is the same on the ios app on my ipad . . .,iOS,0
373,"@notionhq how can i create a ""tasks template"" so the same set of tasks copies to each project i create??
",tasks,1
374,i can not log in to my notion account on my computer,log in,0
375,improvement needs in your delivery team,Delivery,1
376,will not renew any subscription in the future,subscription,0
377,"you can make lists, tables, insert pictures, link it to your calendar, and more.","lists,",0
378,"iOS app has a lot of restrictions, some justified some not.
",iOS,1
379,Love this app and it works supertly for planning work.,planning,1
380,"this is while I am actually using the app, it will just log me out and show the login page while I am typing.","app,",0
381,"hi there, i had some issues today with the video stuff, i talked with brandon and hermangi, i noticed that because of all the exports i lost some of the premium stock stuff, but i always did the same video (there were complications)",Premium,-1
382,you can add a transition between the scenes from the timeline,scene,0
383,"It should be paid up to the free option, it's a pass",paid,1
384,and dragging items to the side to creat a new columns & resizing them.,new columns,0
385,missing order items is very frequent.,items,-1
386,"try to add more items like rawa, maida in yr stock","rawa,",1
387,It's absolutely best Task Manager app by far.,Task,1
388,"okay i see a free 14 day trial for business and unlimited plans, so",unlimited,1
389,respond to customers issues.,customers issues.,0
390,"it was not stuck, just slow i see, give it a max of 10 mins at times if its a bit slow",stuck,1
391,prior information in case of non delivery discount,Discount,0
392,This is the most helpful app for organizing my recurring tasks and lists for my life since started using way back when.,recurring,1
393,@notionbiz @notionstatus @notionhq tell that to the students who lost their notes right before an exam!,students,-1
394,"i tried almost every editing program, you are the best one i have ever seen until now.",editing,1
395,you want to reduce it and delivery of milk also charging were as local milk distributors delivering milk free.,milk,1
396,otherwise an absolutely great app.,app.,1
397,The option to select multiple tasks to edit is missing.,edit,-1
398,service is so bad that i stopped complaining as there is no use,Service,-1
399,"@danieldibartolo @sugarspunrun @redman @notionhq but evernote and notion notes are not crawl-able, right?",Evernote,0
400,one of the best apps for productivity out there.,apps,1
401,"hello, how can i cancel free account?",cancel,1
402,your charges on each delivery is exorbitant.,delivery,-1
403,"I’ll be the first to say, I love Airtable, but the iOS zap is almost completely useless.",iOS,-1
404,"works well on laptop, but i cannot get the phone app to open.",app,1
405,but i have encountered a very irritating problem while using this app and it is that every time i type the cursor just keeps going back to where it was,cursor,-1
406,is the new account created?,account,1
407,still i have not received super bag first deleiever that too me,super bag,-1
408,free milk delivery or less fee,milk,1
409,I originally planned to use Asana as a To Do list of tasks but found the project management capabilities amazing.,list,1
410,right now i am not intrested for that plan,plan,0
411,do not charge extra be more flexible and available,charge extra,1
412,"hi brandon, i cannot download my video",download,0
413,my most favorite app on my phone.,app,1
414,servoce charge as per no of deliveries made and not as per no of products.,Servoce Charge,-1
415,you really saved my money.,saved,1
416,i cannot drag or add a section box to the first one.,drag,1
417,the only one app you needed to organize your ideas successfully.,app,1
418,timely delivery with fresh product,product,1
419,knowing that when i play the music alone it do not drop down.,music,1
420,could the ipad have overwritten the work I would done online?,iPad,0
421,":, i would like it, if it were faster, but i really love the app, it is the best app for notes that I have ever used.",notes,1
422,"My notification badges just keep climbing in number, even after I’ve archived everything.",archived,0
423,"I was looking for project management software for smaller teams, looked at a lot and tested a lot, and stayed with Asana.",teams,0
424,And I was asked to paid.,paid,0
425,"app response is poor, support process gone bad, product costs are high, no options of re-scheduling the subscribed products for delivery once after end of subscription.",App,-1
426,"just a few samsung notes, bublup app, messages app, it is handy for recognition.",Samsung,0
427,"it is a great app, but does not have widgets, and it is essential, especially for lists","app,",1
428,"service charge is very high, please reduce it",Service charge,1
429,a specific database card does not suggest creating a new template for this database.,database.,-1
430,"great tool overall, but booting up the application on android takes way too long.",tool,1
431,you can do that once you start with the blank canvas,canvas,0
432,"app is good, no issues nothing , just the thing , i urge developers to add handwriting and notebook featire with templates it would be blessing.",App,1
433,"The desktop version makes sense and you can use a few different views to match your though processes, but in the phone app it’s just a heap of junk in no particular order. 

",processes,-1
434,quality should be ensured before delivery,Quality,0
435,"stock availability, quality of veges/ fruits and pricing, service fees","Stock availability,",0
436,Stop buying fake reviews start do some decent improvements so maybe people will pay you without the need to scam them!!,scam,-1
437,do not opened at all on meizu m5 note,Meizu M5 Note,0
438,"love notion, but the app is so slow.","notion,",1
439,"many times i find vegetables delivered are underweight and on complaining, you said only sorry.",vegetables,-1
440,"unlimited lifetime sounds good, how much is that?",lifetime,1
441,the android app requires force-close + cache-clear on a daily basis to prevent it from getting stuck indefinitely on the loading screen.,Android app,-1
442,i did drag it from the beginning but it still does not starts at the same time as the video,beginning,-1
443,@notionstatus thank you @notionhq for getting us up as fast as you could!,fast,1
